18240001 029c 0000 0401 0007d364 Brandýs n.L.-St.Bol.,Vrábí
18240002 029f 0000 0401 0007d6e8 Brandýs n.L.-St.Bol.,Vrábí
23650001 02a0 0000 0401 0007d9dc Brandýs n.L.-St.Bol.,Zahr.Město
23650002 02a5 0000 0401 0007dc6a Brandýs n.L.-St.Bol.,Zahr.Město
19610001 02a6 0000 0401 0007def8 Brandýs n.L.-St.Bol.,zdrav.stř.
19610002 02a7 0000 0401 0007df34 Brandýs n.L.-St.Bol.,zdrav.stř.
18320001 02a8 0000 0401 0007df6a Brandýs n.L.-St.Bol.,žel.st.
18320002 02ab 0000 0401 0007e066 Brandýs n.L.-St.Bol.,žel.st.
02450001 02ac 0000 0401 0007e174 Branické náměstí
02450002 02ad 0000 0401 0007f38c Branické náměstí
17570001 02ae 0000 0401 000804ea Bratřínov
17570002 0e5d 0000 0401 0008056e Bratřínov
10440001 0e5e 0000 0401 000805ec Braunova
10440002 02eb 0000 0401 00080eda Braunova
12390001 02ec 0000 0401 000817f2 Brázdim,Nový Brázdim
12390002 0cd9 0000 0401 00081906 Brázdim,Nový Brázdim
12440001 0cda 0000 0401 00081a50 Brázdim,rozc.Veliký Brázdim
12440002 0cdb 0000 0401 00081b64 Brázdim,rozc.Veliký Brázdim
18050001 02f8 0000 0401 00081cae Brázdim,Starý Brázdim
18050002 02f9 0000 0401 00081ce4 Brázdim,Starý Brázdim
00430001 1332 0000 0401 00081d14 Brechtova
00430002 1333 0000 0401 000828f0 Brechtova
11290001 02ef 0000 0401 000834c0 Breitcetlova
11290002 02f0 0000 0401 00083efe Breitcetlova
11670001 02f1 0000 0401 000848b2 Brodecká
11670002 02d5 0000 0401 00084bfa Brodecká
09600001 02d6 0000 0401 00084f54 Brodského
09600002 02fe 0000 0401 000854b8 Brodského
41720001 02ff 0000 0400 00085a22 Brozánská
02650001 0300 0000 0401 00085c98 Brumlovka
02650002 146d 0000 0401 00087198 Brumlovka
02650003 146e 0000 0401 000884be Brumlovka,Za Betou
00450001 146f 0000 0001 00088782 Bruselská
00450002 1470 0000 0001 00089712 Bruselská
00460001 1471 0000 0401 0008a906 Brusnice
00460002 0dff 0000 0001 0008bd10 Brusnice
10910001 1472 0000 0401 0008d126 Bryksova
00030001 1473 0000 0401 0008d5f4 Břetislavka
00030002 1474 0000 0401 0008d90c Břetislavka
00030003 1475 0000 0401 0008dc42 Břetislavka
